register,qubits,objective,alpha,seed,objective_value,mean_energy,ground_overlap,modal_is_ground,modal_energy,n_evals,seconds
canonical,15,mean,1.0,0,-23.994416154974978,-23.99441615497498,0.28446009294697133,True,-30.57,2000,96.85668439976871
canonical,15,mean,1.0,1,-23.71017120098502,-23.710171200985023,8.479469966292769e-12,False,-17.92,2000,95.37836910039186
canonical,15,mean,1.0,2,-22.7472540837422,-22.74725408374221,3.48435013219327e-14,False,-23.29,2000,94.32243030052632
canonical,15,mean,1.0,3,-17.81291039156825,-17.81291039156825,9.477852351773109e-09,False,-19.49,2000,93.75221879966557
canonical,15,mean,1.0,4,-13.824881157090514,-13.824881157090521,1.382326321121233e-15,False,-22.419999999999998,2000,95.82421630062163
canonical,15,CVaR alpha=0.1,0.1,0,-30.570000000000007,46.914600280090646,0.10944593907435866,True,-30.57,1065,49.26834040042013
canonical,15,CVaR alpha=0.1,0.1,1,-30.570000000000004,68.007093958797,0.11312820737589897,True,-30.57,1085,48.9796468000859
canonical,15,CVaR alpha=0.1,0.1,2,-30.570000000000007,38.00277224350132,0.1568230627091463,True,-30.57,1290,59.94576259981841
canonical,15,CVaR alpha=0.1,0.1,3,-30.570000000000004,44.48107133589867,0.10270419880344028,True,-30.57,494,21.93122600018978
canonical,15,CVaR alpha=0.1,0.1,4,-30.570000000000004,35.742099037753164,0.1019338058139848,True,-30.57,809,37.18058490008116
canonical,15,CVaR sweep,0.02,0,-30.570000000000007,76.42618825053992,0.022362436129886008,True,-30.57,876,40.997181500308216
canonical,15,CVaR sweep,0.02,1,-30.570000000000007,60.307064432361386,0.021835478289518706,False,-9.77,1109,51.80321040004492
canonical,15,CVaR sweep,0.02,2,-30.570000000000004,94.3864106868876,0.02172201055397696,False,-30.13,458,19.798898600041866
canonical,15,CVaR sweep,0.02,3,-30.570000000000007,60.08507408281938,0.027501598423370854,True,-30.57,1114,50.07969260029495
canonical,15,CVaR sweep,0.02,4,-30.570000000000004,103.04001653032495,0.02095964691401835,True,-30.57,531,23.474269199185073
canonical,15,CVaR sweep,0.05,0,-30.570000000000007,51.77853141868498,0.05157535689487949,True,-30.57,942,42.39477879926562
canonical,15,CVaR sweep,0.05,1,-30.570000000000007,38.435486169598825,0.05114949041105315,True,-30.57,1398,62.26313219964504
canonical,15,CVaR sweep,0.05,2,-30.570000000000004,58.7737870196288,0.051078380331098315,True,-30.57,1186,53.34309890028089
canonical,15,CVaR sweep,0.05,3,-30.570000000000007,58.19384806449561,0.05199374718262576,True,-30.57,1283,58.46450230013579
canonical,15,CVaR sweep,0.05,4,-30.570000000000007,70.20796859772065,0.05651368188334211,True,-30.57,988,46.13337519951165
canonical,15,CVaR sweep,0.1,0,-30.570000000000007,46.914600280090646,0.10944593907435866,True,-30.57,1065,47.60790599975735
canonical,15,CVaR sweep,0.1,1,-30.570000000000004,68.007093958797,0.11312820737589897,True,-30.57,1085,48.372762699611485
canonical,15,CVaR sweep,0.1,2,-30.570000000000007,38.00277224350132,0.1568230627091463,True,-30.57,1290,59.079784399829805
canonical,15,CVaR sweep,0.1,3,-30.570000000000004,44.48107133589867,0.10270419880344028,True,-30.57,494,21.4728697007522
canonical,15,CVaR sweep,0.1,4,-30.570000000000004,35.742099037753164,0.1019338058139848,True,-30.57,809,35.395119700580835
canonical,15,CVaR sweep,0.2,0,-30.570000000000007,37.26600468074786,0.2032506575187489,True,-30.57,1244,56.59681180026382
canonical,15,CVaR sweep,0.2,1,-30.570000000000004,71.92140468760749,0.20073379082754772,True,-30.57,1261,56.49794639926404
canonical,15,CVaR sweep,0.2,2,-30.570000000000007,1.923197636161337,0.29143518783995676,True,-30.57,1954,88.43826990015805
canonical,15,CVaR sweep,0.2,3,-30.570000000000004,22.126764120141367,0.20338106355818977,True,-30.57,552,23.984225500375032
canonical,15,CVaR sweep,0.2,4,-30.550452081716973,46.39334010289671,0.004520817169773421,False,-30.549999999999997,2000,90.79172390047461
canonical,15,CVaR sweep,0.35,0,-30.570000000000004,15.288349929305605,0.3513605761277592,True,-30.57,1815,83.97104949969798
canonical,15,CVaR sweep,0.35,1,-30.55000083932303,70.13496517281416,1.468815301292872e-05,False,-30.549999999999997,2000,91.41183280013502
canonical,15,CVaR sweep,0.35,2,-30.462634146251737,13.43913267283702,4.698658822807474e-10,False,-30.43,2000,91.60445809923112
canonical,15,CVaR sweep,0.35,3,-30.433533605458454,-12.184549216055004,2.4980826815815047e-10,False,-30.43,2000,90.20501479972154
canonical,15,CVaR sweep,0.35,4,-30.550527533163645,62.74925794357321,0.009231830363794997,False,-30.549999999999997,2000,90.79602510016412
canonical,15,CVaR sweep,0.5,0,-30.55000048097153,-8.405578749230521,1.2024288369408315e-05,False,-30.549999999999997,2000,90.70278479997069
canonical,15,CVaR sweep,0.5,1,-30.471202409746187,9.176946919631469,0.12912357915864092,False,-30.43,2000,90.810950900428
canonical,15,CVaR sweep,0.5,2,-30.450001677846025,-11.256289726783255,6.976255735737889e-06,False,-30.45,2000,91.58037280011922
canonical,15,CVaR sweep,0.5,3,-30.459370858258765,-24.08212313527133,1.5150669991317608e-11,False,-30.43,2000,91.02275780029595
canonical,15,CVaR sweep,0.5,4,-30.550040769309252,10.490553017530393,0.0010192327314309953,False,-30.549999999999997,2000,90.29393209982663
canonical,15,CVaR sweep,1.0,0,-23.994416154974978,-23.99441615497498,0.28446009294697133,True,-30.57,2000,96.85668439976871
canonical,15,CVaR sweep,1.0,1,-23.71017120098502,-23.710171200985023,8.479469966292769e-12,False,-17.92,2000,95.37836910039186
canonical,15,CVaR sweep,1.0,2,-22.7472540837422,-22.74725408374221,3.48435013219327e-14,False,-23.29,2000,94.32243030052632
canonical,15,CVaR sweep,1.0,3,-17.81291039156825,-17.81291039156825,9.477852351773109e-09,False,-19.49,2000,93.75221879966557
canonical,15,CVaR sweep,1.0,4,-13.824881157090514,-13.824881157090521,1.382326321121233e-15,False,-22.419999999999998,2000,95.82421630062163
unreduced,20,CVaR,0.1,0,-30.570000000000007,38.09860341234131,0.1027245577516502,True,-30.57,1341,5263.962395300157
unreduced,20,CVaR,0.1,1,-30.570000000000007,61.58684489313287,0.12046687132555167,True,-30.57,1500,5908.577496900223
unreduced,20,CVaR,0.1,2,-30.570000000000007,50.98696811653878,0.10032359031059043,True,-30.57,1500,5886.405311300419
